stroke_team_id,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt
40,lvo,99.5,0.336683,0.085427,0.941176,0.698492,0.741007,1.0,0.990291,1.0,0.656863,4.393851,0.477176,2.012457,1.048284,3.153204,0.697014,0.698492,0.791367,1.0,0.981818,1.0,0.157407,4.477029,0.562723,2.016361,1.049239,5.065903,0.354363,0.336683,0.085427
40,nlvo,450.5,0.0899,0.00444,0.75,0.620422,0.502683,0.992883,0.942652,1.0,0.304183,4.639166,0.527584,2.228338,1.268476,3.332821,0.817576,0.620422,0.611807,0.98538,0.940653,1.0,0.012618,4.831366,0.633718,2.339385,1.348195,,,0.08879,0.00444
40,other,90.5,0.0,0.0,,0.624309,0.672566,0.973684,0.959459,1.0,0.0,4.485134,0.66323,2.236272,1.073298,,,0.624309,0.761062,0.953488,0.97561,1.0,0.0,4.630562,0.743458,2.293097,1.069769,,,0.0,0.0
40,mixed,640.5,0.115535,0.016393,0.904762,0.633099,0.567201,0.991304,0.95614,1.0,0.337156,4.558788,0.550662,2.180863,1.192716,3.250954,0.7677,0.633099,0.663379,0.983271,0.954631,1.0,0.041584,4.726819,0.654225,2.265041,1.255404,5.090765,0.338887,0.114754,0.016393
41,lvo,118.0,0.275424,0.0,,0.766949,0.773481,0.985714,0.92029,1.0,0.496063,4.599711,0.484559,3.232702,0.787799,3.592693,0.656077,0.766949,0.850829,0.980519,0.940397,1.0,0.0,4.696259,0.55521,3.328392,0.854754,,,0.266949,0.0
41,nlvo,399.5,0.136421,0.001252,0.0,0.757196,0.555372,0.922619,0.867742,1.0,0.394052,4.695162,0.497106,3.4174,0.928295,3.357849,0.76772,0.757196,0.644628,0.95641,0.841823,1.0,0.0,4.834823,0.579673,3.67334,1.078375,,,0.132666,0.0
41,other,65.5,0.0,0.0,,0.748092,0.72449,0.915493,0.923077,1.0,0.0,4.554667,0.55237,3.289609,0.784939,,,0.748092,0.785714,0.948052,0.931507,1.0,0.0,4.641151,0.609824,3.444303,0.912675,,,0.0,0.0
41,mixed,583.0,0.149228,0.000858,0.0,0.758148,0.618778,0.937843,0.888889,1.0,0.370614,4.652496,0.503576,3.351523,0.877537,3.445394,0.73498,0.758148,0.702489,0.961353,0.877722,1.0,0.0,4.776447,0.581804,3.558086,1.016663,,,0.14494,0.0
42,lvo,52.0,0.384615,0.096154,0.6,0.644231,0.925373,1.0,0.935484,1.0,0.655172,4.547136,0.48505,3.076572,0.87783,3.352447,0.791539,0.644231,0.970149,1.0,1.0,1.0,0.123077,4.600325,0.533041,3.081061,0.857491,,,0.365385,0.076923
42,nlvo,355.5,0.105485,0.001406,0.0,0.655415,0.523605,0.92623,0.849558,1.0,0.380208,4.594235,0.577204,3.448309,0.745092,3.412405,0.618786,0.655415,0.60515,0.957447,0.918519,1.0,0.0,4.738148,0.650466,3.547576,0.830155,,,0.102672,0.0
