stroke_team_id,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt
55,nlvo,176.5,0.090652,0.0,,0.566572,0.535,0.915888,0.765306,1.0,0.36,4.615291,0.75924,3.847148,0.861235,3.697869,1.172978,0.566572,0.665,0.917293,0.811475,1.0,0.0,4.830842,0.810782,4.042222,0.943034,,,0.076487,0.0
55,other,26.5,0.0,0.0,,0.528302,0.571429,0.9375,0.8,1.0,0.0,4.602367,0.528251,3.793872,0.975059,,,0.528302,0.75,0.904762,0.842105,1.0,0.0,4.842312,0.637201,3.906567,0.972967,,,0.0,0.0
55,mixed,241.0,0.107884,0.002075,1.0,0.587137,0.600707,0.941176,0.81875,1.0,0.358779,4.589336,0.676818,3.742357,0.841753,3.740157,1.084879,0.587137,0.724382,0.936585,0.854167,1.0,0.006098,4.778882,0.746236,3.889753,0.912423,,,0.09751,0.002075
56,lvo,62.0,0.290323,0.024194,0.333333,0.717742,0.876404,1.0,0.961538,1.0,0.48,4.48201,0.709661,3.234779,0.679029,3.453163,0.799977,0.717742,0.910112,1.0,0.962963,1.0,0.025641,4.530564,0.739612,3.275349,0.711921,,,0.290323,0.016129
56,nlvo,253.0,0.051383,0.0,,0.559289,0.512367,0.931034,0.777778,1.0,0.247619,4.739804,0.486052,3.596147,0.954977,3.429445,0.882922,0.559289,0.632509,0.96648,0.815029,1.0,0.0,4.920038,0.576562,3.825375,1.037243,,,0.051383,0.0
56,other,56.0,0.0,0.0,,0.544643,0.868852,1.0,0.867925,1.0,0.0,4.55182,0.670416,3.302096,1.19165,,,0.544643,0.885246,1.0,1.0,1.0,0.0,4.57127,0.679268,3.307815,1.181103,,,0.0,0.0
56,mixed,371.0,0.083558,0.004043,0.333333,0.583558,0.637413,0.963768,0.849624,1.0,0.274336,4.630851,0.602873,3.431593,0.949907,3.443217,0.828746,0.583558,0.725173,0.980892,0.886364,1.0,0.007326,4.759589,0.664384,3.589984,1.023241,,,0.083558,0.002695
57,lvo,50.5,0.306931,0.138614,0.428571,0.70297,0.816901,0.965517,0.892857,1.0,0.56,4.651027,0.531005,3.46619,0.616969,3.220879,0.765888,0.70297,0.887324,0.984127,0.919355,1.0,0.192982,4.741009,0.595824,3.555151,0.698233,5.675502,0.901705,0.277228,0.108911
57,nlvo,168.0,0.107143,0.017857,0.333333,0.589286,0.60101,0.915966,0.761468,1.0,0.385542,4.735051,0.505865,3.61879,0.76795,3.449692,0.711319,0.589286,0.707071,0.95,0.909774,1.0,0.024793,4.871614,0.569983,3.768487,0.873302,,,0.095238,0.008929
57,other,23.0,0.0,0.0,,0.478261,0.772727,0.941176,0.9375,1.0,0.0,4.628282,0.44864,3.433831,0.684487,,,0.478261,0.909091,1.0,0.9,1.0,0.0,4.791788,0.576281,3.57952,0.862687,,,0.0,0.0
57,mixed,241.5,0.138716,0.041408,0.4,0.602484,0.666667,0.93299,0.81768,1.0,0.405405,4.700574,0.508281,3.555227,0.717931,3.342913,0.739959,0.602484,0.766323,0.964126,0.911628,1.0,0.071429,4.827558,0.578316,3.689389,0.828074,5.793207,1.032082,0.124224,0.028986
58,lvo,55.0,0.172727,0.063636,0.428571,0.590909,0.769231,0.96,0.979167,1.0,0.404255,4.604235,0.681807,2.260164,1.014072,3.839069,0.477531,0.590909,0.923077,0.966667,0.948276,1.0,0.109091,4.774466,0.731689,2.412019,1.139223,,,0.172727,0.054545
58,nlvo,320.0,0.054688,0.003125,0.0,0.557812,0.62465,0.93722,0.92823,1.0,0.175258,4.666795,0.474442,2.470097,1.14105,3.831208,0.381021,0.557812,0.719888,0.964981,0.955645,1.0,0.004219,4.803474,0.565501,2.57109,1.224848,,,0.053125,0.001563
58,other,55.5,0.0,0.0,,0.531532,0.847458,0.94,0.93617,1.0,0.0,4.480564,0.580399,2.819937,1.063544,,,0.531532,0.915254,0.981481,0.924528,1.0,0.0,4.567595,0.63953,2.919292,1.248051,,,0.0,0.0
58,mixed,430.5,0.062718,0.010453,0.333333,0.558653,0.671518,0.941176,0.9375,1.0,0.185965,4.628282,0.530751,2.491037,1.118275,3.834026,0.41362,0.558653,0.77131,0.967655,0.949861,1.0,0.020528,4.76445,0.609874,2.596796,1.220395,,,0.061556,0.00813
59,lvo,51.5,0.291262,0.048544,0.6,0.669903,0.855072,1.0,0.966102,1.0,0.508772,4.501624,0.46502,1.996866,1.476319,4.01173,0.597123,0.669903,0.913043,1.0,1.0,1.0,0.079365,4.573173,0.529188,2.029772,1.445333,,,0.281553,0.048544
59,nlvo,296.0,0.081081,0.003378,0.5,0.597973,0.59887,0.990566,0.880952,1.0,0.254054,4.688479,0.447249,2.526497,1.527247,4.037528,0.555409,0.597973,0.714689,0.996047,0.920635,1.0,0.00431,4.849199,0.551343,2.66089,1.563701,,,0.079392,0.001689
59,other,46.5,0.0,0.0,,0.655914,0.786885,0.958333,0.913043,1.0,0.0,4.567257,0.431063,2.694849,1.73112,,,0.655914,0.819672,1.0,0.94,1.0,0.0,4.610389,0.473816,2.882995,1.789991,,,0.0,0.0
59,mixed,394.0,0.098985,0.008883,0.571429,0.614213,0.659091,0.987461,0.901587,1.0,0.267606,4.635679,0.453353,2.451881,1.56072,4.027684,0.567868,0.614213,0.756198,0.997268,0.936986,1.0,0.017544,4.769062,0.549637,2.582383,1.594602,,,0.096447,0.007614
60,lvo,126.5,0.229249,0.063241,0.75,0.6917,0.64,0.991071,0.945946,1.0,0.542857,4.640692,0.382888,3.125562,0.642091,3.684171,0.856446,0.6917,0.76,0.992481,0.962121,1.0,0.11811,4.803517,0.517174,3.156195,0.717727,5.42749,0.169469,0.225296,0.059289
60,nlvo,458.5,0.075245,0.004362,0.5,0.653217,0.477462,0.944056,0.833333,1.0,0.297778,4.729829,0.458524,3.490355,0.962235,3.702849,0.48602,0.653217,0.584307,0.977143,0.856725,1.0,0.010239,4.90442,0.557603,3.615672,1.02951,,,0.073064,0.003272
60,other,80.5,0.0,0.0,,0.652174,0.619048,0.969231,0.84127,1.0,0.0,4.648145,0.567662,3.427176,0.925893,,,0.652174,0.733333,0.974026,0.906667,1.0,0.0,4.813177,0.650834,3.452374,0.955718,,,0.0,0.0
60,mixed,665.5,0.095417,0.015026,0.7,0.660406,0.526735,0.958963,0.862613,1.0,0.32376,4.696799,0.459706,3.390192,0.89913,3.694263,0.678814,0.660406,0.637088,0.980357,0.888889,1.0,0.036885,4.867909,0.563115,3.482888,0.971007,5.396048,0.191129,0.093163,0.013524
61,lvo,79.0,0.259494,0.031646,0.8,0.708861,0.794643,1.0,0.977528,1.0,0.471264,4.472482,0.432582,3.306444,0.590664,3.420032,0.720815,0.708861,0.857143,1.0,0.989583,1.0,0.052632,4.561471,0.525486,3.302269,0.585404,,,0.259494,0.031646
61,nlvo,336.5,0.123328,0.002972,1.0,0.695394,0.589744,0.974638,0.888476,1.0,0.343096,4.616149,0.479355,3.608306,0.661994,3.627201,0.58884,0.695394,0.675214,0.987342,0.919872,1.0,0.006969,4.745715,0.564247,3.677943,0.713047,,,0.121842,0.002972
61,other,68.5,0.0,0.0,,0.693431,0.757895,0.944444,0.852941,1.0,0.0,4.608561,0.540123,3.581938,0.778428,,,0.693431,0.863158,0.987805,0.91358,1.0,0.0,4.736281,0.613529,3.682443,0.86036,,,0.0,0.0
61,mixed,484.0,0.128099,0.007231,0.857143,0.697314,0.647407,0.974828,0.901408,1.0,0.320312,4.58564,0.483215,3.541032,0.677324,3.558145,0.640449,0.697314,0.731852,0.989879,0.932515,1.0,0.015351,4.708345,0.568952,3.604937,0.731102,,,0.127066,0.007231
62,lvo,43.5,0.333333,0.057471,1.0,0.781609,0.764706,1.0,0.942308,1.0,0.530612,4.670089,0.50312,3.30774,0.721205,3.143657,0.994834,0.781609,0.838235,1.0,0.964912,1.0,0.090909,4.767478,0.576648,3.261817,0.834412,,,0.298851,0.057471
62,nlvo,146.0,0.089041,0.003425,1.0,0.715753,0.564593,0.983051,0.896552,1.0,0.182692,4.742938,0.403509,3.520574,0.743364,3.131731,0.961753,0.715753,0.645933,0.985185,0.954887,1.0,0.007874,4.862529,0.493816,3.530322,0.721918,,,0.065068,0.003425
62,other,11.5,0.0,0.0,,0.652174,0.8,1.0,0.916667,1.0,0.0,4.81702,0.303622,3.433505,0.919859,,,0.652174,0.8,1.0,0.916667,1.0,0.0,4.81702,0.303622,3.433505,0.919859,,,0.0,0.0
62,mixed,201.0,0.136816,0.014925,1.0,0.726368,0.623288,0.989011,0.911111,1.0,0.27439,4.727009,0.428728,3.453284,0.751214,3.138621,0.969927,0.726368,0.69863,0.990196,0.955446,1.0,0.031088,4.833294,0.509406,3.448804,0.772573,,,0.11194,0.014925
63,lvo,37.5,0.213333,0.0,,0.893333,0.373134,1.0,0.88,1.0,0.727273,4.818804,0.515023,2.609409,0.791405,3.932033,0.374821,0.893333,0.552239,1.0,0.864865,1.0,0.0,5.122626,0.615403,2.81677,0.942179,,,0.213333,0.0
63,nlvo,109.5,0.13242,0.004566,1.0,0.858447,0.276596,0.961538,0.86,1.0,0.674419,4.567243,0.878737,2.696963,1.291702,3.991105,0.597964,0.858447,0.393617,0.986486,0.808219,1.0,0.016949,4.909821,0.90816,3.05627,1.37381,,,0.13242,0.004566
63,other,30.5,0.0,0.0,,0.852459,0.480769,0.96,0.833333,1.0,0.0,4.931139,0.402335,3.024038,1.023818,,,0.852459,0.596154,1.0,0.774194,1.0,0.0,5.084529,0.482867,3.292853,1.195656,,,0.0,0.0
63,mixed,177.5,0.126761,0.002817,1.0,0.864789,0.332248,0.970588,0.858586,1.0,0.529412,4.71809,0.718935,2.754144,1.121825,3.970102,0.525596,0.864789,0.462541,0.992958,0.815603,1.0,0.008696,5.003411,0.763595,3.045437,1.238015,,,0.126761,0.002817
64,lvo,60.0,0.366667,0.225,0.592593,0.783333,0.776596,0.986301,0.930556,1.0,0.626866,4.48313,0.485691,3.275263,0.962132,3.075998,0.61555,0.783333,0.840426,1.0,0.949367,1.0,0.306667,4.575435,0.569122,3.325231,0.985661,4.89477,0.569534,0.35,0.191667
64,nlvo,312.0,0.203526,0.028846,0.888889,0.762821,0.55042,0.965649,0.873518,1.0,0.524887,4.590488,0.713489,3.46494,0.796513,3.036413,0.951408,0.762821,0.619748,0.983051,0.927586,1.0,0.066914,4.715652,0.760265,3.549415,0.864877,5.069961,0.369397,0.185897,0.028846
64,other,46.5,0.0,0.0,,0.709677,0.666667,0.977273,0.906977,1.0,0.0,4.581819,0.567604,3.659391,0.650038,,,0.709677,0.742424,0.979592,0.9375,1.0,0.0,4.694155,0.63474,3.654917,0.641423,,,0.0,0.0
64,mixed,418.5,0.204301,0.053763,0.711111,0.759857,0.595912,0.970976,0.888587,1.0,0.48318,4.568803,0.659426,3.45055,0.821192,3.046936,0.873089,0.759857,0.665094,0.985816,0.932854,1.0,0.105398,4.686975,0.715045,3.519088,0.870749,4.971683,0.494109,0.188769,0.048984
65,lvo,27.5,0.145455,0.145455,0.125,0.527273,0.862069,1.0,0.92,1.0,0.347826,4.871151,0.446891,1.976703,1.276313,,,0.527273,0.896552,1.0,1.0,1.0,0.192308,4.906841,0.474175,1.996249,1.254492,,,0.145455,0.090909
65,nlvo,142.0,0.06338,0.003521,0.0,0.503521,0.517483,0.945946,0.871429,1.0,0.295082,4.692735,0.509308,2.650123,1.506718,2.973029,0.758141,0.503521,0.615385,0.965909,0.882353,1.0,0.013333,4.855968,0.601659,2.886683,1.606926,,,0.06338,0.003521
65,other,21.5,0.0,0.0,,0.627907,0.777778,0.904762,0.894737,1.0,0.0,4.608224,0.491769,2.284461,1.480081,,,0.627907,0.814815,0.954545,1.0,1.0,0.0,4.652725,0.523344,2.332053,1.66413,,,0.0,0.0
65,mixed,191.0,0.068063,0.02356,0.111111,0.520942,0.603015,0.95,0.885965,1.0,0.257426,4.715115,0.497484,2.4415,1.469715,3.030986,0.702815,0.520942,0.683417,0.970588,0.924242,1.0,0.04918,4.832816,0.5694,2.623058,1.586048,,,0.068063,0.015707
66,lvo,20.5,0.463415,0.04878,0.0,0.878049,0.75,0.962963,0.923077,1.0,0.708333,4.735493,0.488864,2.440843,1.04602,3.834399,0.452749,0.878049,0.861111,1.0,0.903226,1.0,0.071429,4.8678,0.574401,2.726918,1.210947,,,0.414634,0.04878
66,nlvo,95.5,0.125654,0.0,,0.811518,0.432258,0.985075,0.878788,1.0,0.413793,4.768525,0.58766,2.668319,1.129105,3.879802,0.425856,0.811518,0.548387,1.0,0.929412,1.0,0.0,4.964735,0.647485,2.828477,1.206364,,,0.125654,0.0
66,other,24.5,0.0,0.0,,0.918367,0.533333,0.958333,1.0,1.0,0.0,4.762708,0.419268,2.678348,0.991296,,,0.918367,0.755556,0.970588,0.909091,1.0,0.0,5.028577,0.547009,2.852054,1.213207,,,0.0,0.0
66,mixed,140.5,0.153025,0.007117,0.0,0.839858,0.5,0.974576,0.913043,1.0,0.390476,4.759784,0.531654,2.618895,1.079744,3.860976,0.432185,0.839858,0.635593,0.993333,0.919463,1.0,0.014599,4.959173,0.609838,2.812569,1.201458,,,0.145907,0.007117
67,lvo,67.0,0.268657,0.089552,0.5,0.835821,0.580357,1.0,0.923077,1.0,0.6,4.505143,0.565542,3.149705,0.70069,3.319364,0.806795,0.835821,0.633929,1.0,0.957746,1.0,0.132353,4.607277,0.638904,3.165398,0.691057,,,0.268657,0.067164
67,nlvo,312.0,0.049679,0.00641,0.5,0.684295,0.386417,0.939394,0.76129,1.0,0.254237,4.632524,0.641896,3.64027,0.811598,3.124252,0.878347,0.684295,0.473068,0.970297,0.836735,1.0,0.018293,4.83243,0.719956,3.755704,0.878211,,,0.048077,0.004808
67,other,50.0,0.0,0.0,,0.7,0.614286,0.953488,0.878049,1.0,0.0,4.641106,0.447014,3.313078,0.783148,,,0.7,0.714286,1.0,0.9,1.0,0.0,4.786435,0.55372,3.445096,0.846676,,,0.0,0.0
67,mixed,429.0,0.078089,0.018648,0.5,0.70979,0.448276,0.956044,0.819923,1.0,0.308411,4.603547,0.597986,3.466701,0.807565,3.230677,0.839216,0.70979,0.530378,0.981424,0.873817,1.0,0.043321,4.775818,0.683554,3.574499,0.868043,4.625538,0.301054,0.076923,0.013986
68,lvo,70.0,0.157143,0.0,,0.792857,0.846847,1.0,0.851064,1.0,0.275,4.645491,0.509989,3.591657,0.634695,3.023415,1.283785,0.792857,0.936937,1.0,0.942308,1.0,0.0,4.744419,0.57358,3.621414,0.644794,,,0.157143,0.0
68,nlvo,385.5,0.040208,0.0,,0.634241,0.433538,0.966981,0.785366,1.0,0.192547,4.745968,0.526109,3.777585,0.838919,3.386202,0.993496,0.634241,0.552147,0.974074,0.86692,1.0,0.0,4.948786,0.609053,3.827906,0.824185,,,0.040208,0.0
68,other,60.0,0.0,0.0,,0.641667,0.597403,0.978261,0.8,1.0,0.0,4.771402,0.419584,3.680053,0.623759,,,0.641667,0.714286,0.981818,0.907407,1.0,0.0,4.92297,0.51898,3.778355,0.685087,,,0.0,0.0
68,mixed,515.5,0.051406,0.0,,0.656644,0.519941,0.977273,0.805233,1.0,0.191336,4.72246,0.510007,3.714021,0.764449,3.235611,1.125874,0.656644,0.633678,0.981352,0.890736,1.0,0.0,4.895933,0.594753,3.770541,0.769743,,,0.051406,0.0
69,lvo,38.5,0.38961,0.0,,0.883117,0.823529,0.982143,0.945455,1.0,0.519231,4.449663,0.416303,3.184981,0.686581,3.433807,1.231366,0.883117,0.882353,1.0,0.966667,1.0,0.0,4.525826,0.494584,3.239618,0.741536,,,0.350649,0.0
69,nlvo,297.0,0.102694,0.003367,0.5,0.661616,0.600509,0.944915,0.802691,1.0,0.307263,4.685701,0.522018,3.440582,0.901622,3.651235,0.896172,0.661616,0.704835,0.956679,0.890566,1.0,0.008475,4.834988,0.602718,3.526231,0.951323,,,0.092593,0.003367
69,other,37.0,0.0,0.0,,0.581081,0.744186,0.96875,0.903226,1.0,0.0,4.580156,0.398271,3.42891,0.859388,,,0.581081,0.860465,0.972973,0.916667,1.0,0.0,4.734051,0.543626,3.501941,0.95241,,,0.0,0.0
69,mixed,372.5,0.122148,0.002685,0.5,0.67651,0.642857,0.953704,0.838188,1.0,0.316602,4.63448,0.501125,3.393916,0.866035,3.579643,1.016212,0.67651,0.742063,0.965241,0.905817,1.0,0.006116,4.775404,0.590627,3.476173,0.9237,,,0.110067,0.002685
70,lvo,128.0,0.320312,0.027344,1.0,0.851562,0.807339,0.9375,0.909091,1.0,0.513333,4.548043,0.559455,3.373186,0.708484,3.576642,0.619093,0.851562,0.880734,0.963542,0.92973,1.0,0.040698,4.639964,0.617183,3.494928,0.824683,,,0.300781,0.027344
70,nlvo,646.5,0.081206,0.001547,1.0,0.799691,0.477756,0.908907,0.759465,1.0,0.296188,4.679992,0.544267,3.850683,0.83601,3.72131,0.481227,0.799691,0.582205,0.958472,0.797227,1.0,0.004348,4.863178,0.632008,4.069109,0.932465,,,0.078113,0.001547
70,other,110.0,0.0,0.0,,0.777273,0.719298,0.95122,0.82906,1.0,0.0,4.539354,0.595387,3.72489,0.78907,,,0.777273,0.789474,0.977778,0.916667,1.0,0.0,4.637549,0.65052,3.796693,0.855966,,,0.0,0.0
70,mixed,884.5,0.105709,0.005088,1.0,0.804409,0.557273,0.921816,0.804378,1.0,0.302721,4.628893,0.559002,3.72277,0.823598,3.658729,0.548245,0.804409,0.652846,0.962325,0.842282,1.0,0.011952,4.784257,0.640054,3.910068,0.928654,,,0.100622,0.005088
71,lvo,120.0,0.541667,0.079167,1.0,0.825,0.833333,0.993939,0.987805,1.0,0.796296,4.410558,0.563638,2.736896,0.691942,2.640979,0.952293,0.825,0.883838,0.994286,0.988506,1.0,0.110465,4.487283,0.630823,2.756373,0.706977,5.180572,0.28926,0.5375,0.079167
71,nlvo,425.5,0.206816,0.00235,1.0,0.815511,0.51585,0.955307,0.938596,1.0,0.52648,4.611287,0.573395,2.882799,0.731999,2.69252,0.956081,0.815511,0.622478,0.967593,0.889952,1.0,0.005376,4.79227,0.658725,3.09207,0.984084,,,0.19859,0.00235
71,other,82.0,0.0,0.0,,0.823171,0.688889,0.956989,0.921348,1.0,0.0,4.469987,0.4316,2.865451,0.882945,,,0.823171,0.755556,0.970588,0.949495,1.0,0.0,4.573778,0.532216,2.957839,0.949017,,,0.0,0.0
71,mixed,627.5,0.243825,0.016733,1.0,0.818327,0.599805,0.965909,0.94958,1.0,0.527434,4.536188,0.558226,2.839989,0.747373,2.670209,0.95318,0.818327,0.69036,0.974612,0.9233,1.0,0.032915,4.685558,0.648708,2.988307,0.926669,5.240525,0.382855,0.23745,0.016733
72,lvo,61.5,0.365854,0.01626,1.0,0.926829,0.649123,0.959459,0.915493,1.0,0.646154,4.700654,0.598037,3.23315,0.722388,3.51648,0.863783,0.926829,0.754386,0.965116,0.927711,1.0,0.025974,4.841765,0.658342,3.304022,0.84196,,,0.341463,0.01626
72,nlvo,296.0,0.199324,0.0,,0.876689,0.423892,0.959091,0.843602,1.0,0.606742,4.734915,0.572707,3.479347,0.741069,3.645197,0.42051,0.876689,0.541426,0.975089,0.843066,1.0,0.0,4.941318,0.643761,3.712806,0.902234,,,0.182432,0.0
72,other,53.5,0.0,0.0,,0.897196,0.541667,0.961538,0.9,1.0,0.0,4.813648,0.459374,3.389128,0.703277,,,0.897196,0.729167,0.971429,0.852941,1.0,0.0,5.036109,0.552576,3.665768,0.887666,,,0.0,0.0
72,mixed,411.0,0.198297,0.002433,1.0,0.886861,0.474623,0.959538,0.86747,1.0,0.520833,4.73942,0.562353,3.413109,0.736093,3.609156,0.579358,0.886861,0.599451,0.97254,0.861176,1.0,0.005464,4.93691,0.634305,3.625447,0.900639,,,0.182482,0.002433
73,lvo,143.0,0.265734,0.192308,0.581818,0.611888,0.817143,0.986014,0.985816,1.0,0.532374,4.407464,0.536804,2.799388,1.126115,3.518703,0.573144,0.611888,0.874286,0.993464,0.953947,1.0,0.337931,4.493566,0.6138,2.885239,1.1672,4.893394,0.581879,0.258741,0.171329
73,nlvo,480.5,0.083247,0.009365,0.666667,0.536941,0.593023,0.918301,0.900356,1.0,0.3083,4.590115,0.481543,2.998177,1.285697,3.542969,0.505881,0.536941,0.672481,0.962536,0.898204,1.0,0.02,4.718346,0.574237,3.17119,1.415663,,,0.081165,0.006243
73,other,95.0,0.0,0.0,,0.568421,0.694444,0.96,0.916667,1.0,0.0,4.529528,0.510156,2.929903,1.397159,,,0.568421,0.787037,0.976471,0.927711,1.0,0.0,4.668737,0.614415,3.078167,1.396236,,,0.0,0.0
73,mixed,718.5,0.108559,0.044537,0.59375,0.556019,0.65582,0.942748,0.927126,1.0,0.331878,4.531598,0.506467,2.931487,1.260003,3.531155,0.538011,0.556019,0.732165,0.97265,0.917399,1.0,0.105364,4.652349,0.597456,3.081233,1.354103,4.977657,0.656381,0.105776,0.038274
74,lvo,141.0,0.276596,0.031915,0.888889,0.617021,0.775862,0.992593,0.925373,1.0,0.629032,4.485271,0.495041,2.999071,0.839417,3.459195,0.429656,0.617021,0.83908,1.0,0.952055,1.0,0.064748,4.576924,0.575039,3.093785,0.897215,,,0.276596,0.031915
74,nlvo,454.5,0.068207,0.0,,0.484048,0.538636,0.966245,0.838428,1.0,0.3125,4.591195,0.685913,3.414227,0.890602,3.460144,0.480941,0.484048,0.640909,0.978723,0.923913,1.0,0.0,4.763675,0.744347,3.503132,0.941618,,,0.066007,0.0
74,other,89.5,0.0,0.0,,0.581006,0.836538,0.977011,0.894118,1.0,0.0,4.621616,0.462691,3.112286,0.860398,,,0.581006,0.913462,0.978947,0.935484,1.0,0.0,4.706788,0.526497,3.179608,0.887409,,,0.0,0.0
74,mixed,685.0,0.10219,0.006569,0.888889,0.524088,0.639276,0.976035,0.875,1.0,0.352041,4.565807,0.597633,3.232763,0.888447,3.459608,0.450964,0.524088,0.728412,0.984704,0.933981,1.0,0.018711,4.701208,0.668175,3.328662,0.937256,,,0.10073,0.006569
75,lvo,91.0,0.208791,0.06044,0.727273,0.659341,0.816667,1.0,0.94898,1.0,0.387097,4.426739,0.468475,3.58272,0.484995,3.611733,0.901963,0.659341,0.875,1.0,0.980952,1.0,0.087379,4.510386,0.5515,3.598991,0.489935,,,0.197802,0.049451
75,nlvo,409.0,0.051345,0.003667,0.0,0.617359,0.592079,0.963211,0.864583,1.0,0.160643,4.565104,0.467235,3.853173,0.578802,3.595778,0.557552,0.617359,0.69505,0.97151,0.909091,1.0,0.006452,4.73192,0.590203,3.898626,0.597527,,,0.0489,0.002445
75,other,75.0,0.0,0.0,,0.626667,0.734043,0.985507,0.882353,1.0,0.0,4.499968,0.493622,3.741933,0.562277,,,0.626667,0.797872,0.986667,0.986486,1.0,0.0,4.588242,0.561919,3.733962,0.558569,,,0.0,0.0
75,mixed,575.0,0.069565,0.012174,0.571429,0.625217,0.648122,0.974249,0.885463,1.0,0.189055,4.526361,0.473792,3.778132,0.566933,3.603336,0.735775,0.625217,0.738526,0.979284,0.934615,1.0,0.022634,4.667821,0.585092,3.81469,0.583827,5.301771,0.58008,0.066087,0.009565
76,lvo,41.0,0.170732,0.036585,0.333333,1.0,0.634146,0.980769,0.960784,1.0,0.285714,4.357796,0.490945,3.625817,0.493323,3.634784,0.452571,1.0,0.719512,0.966102,0.912281,1.0,0.057692,4.52631,0.654372,3.65799,0.508617,,,0.170732,0.036585
76,nlvo,180.0,0.086111,0.002778,0.0,0.969444,0.475645,0.963855,0.9,1.0,0.215278,4.535222,0.543057,3.660565,0.524116,3.432203,0.818093,0.969444,0.56447,0.984772,0.886598,1.0,0.005814,4.720728,0.65989,3.7656,0.625637,,,0.086111,0.002778
76,other,45.0,0.0,0.0,,0.955556,0.546512,0.978723,0.826087,1.0,0.0,4.549585,0.543541,3.610813,0.78422,,,0.955556,0.604651,1.0,0.903846,1.0,0.0,4.662266,0.62463,3.720125,0.849219,,,0.0,0.0
76,mixed,266.0,0.084586,0.007519,0.25,0.971805,0.512573,0.969811,0.898833,1.0,0.194805,4.502954,0.536238,3.644765,0.571565,3.495228,0.725145,0.971805,0.595745,0.983766,0.894389,1.0,0.01476,4.673615,0.655241,3.737552,0.64935,,,0.084586,0.007519
77,lvo,115.0,0.304348,0.086957,0.65,0.769565,0.683616,0.983471,0.932773,1.0,0.594595,4.371126,0.514715,2.949243,0.843001,3.104219,0.617311,0.769565,0.745763,1.0,0.954545,1.0,0.126984,4.477306,0.607105,3.03548,0.970992,3.873252,0.800366,0.286957,0.069565
77,nlvo,518.0,0.084942,0.002896,1.0,0.637066,0.545455,0.863889,0.813505,1.0,0.320158,4.489697,0.624073,3.631433,0.961896,3.183935,0.903699,0.637066,0.624242,0.917476,0.859788,1.0,0.006154,4.642917,0.710509,3.804422,1.040114,,,0.078185,0.001931
77,other,83.5,0.0,0.0,,0.682635,0.692982,0.911392,0.847222,1.0,0.0,4.528563,0.596112,3.373131,1.033255,,,0.682635,0.789474,0.944444,0.905882,1.0,0.0,4.668063,0.674234,3.524298,1.08603,,,0.0,0.0
77,mixed,716.5,0.110258,0.01605,0.695652,0.663643,0.588854,0.896429,0.846614,1.0,0.345882,4.46956,0.599524,3.432671,0.985762,3.148144,0.786594,0.663643,0.666667,0.938486,0.887395,1.0,0.034091,4.612006,0.68762,3.593815,1.076818,3.89952,0.797436,0.102582,0.012561
78,lvo,96.0,0.182292,0.046875,0.666667,0.692708,0.699248,0.989247,0.902174,1.0,0.409639,4.65908,0.505637,2.836444,0.777273,3.467991,0.99746,0.692708,0.774436,1.0,0.961165,1.0,0.080808,4.758416,0.569323,2.929299,0.828562,,,0.177083,0.041667
78,nlvo,321.5,0.090202,0.00311,0.5,0.505443,0.547692,0.994382,0.887006,1.0,0.363057,4.577298,0.566034,3.129021,0.92636,3.535084,0.652841,0.505443,0.621538,0.990099,0.945,1.0,0.010582,4.704823,0.636409,3.225144,0.972989,,,0.088647,0.00311
78,other,47.0,0.0,0.0,,0.617021,0.655172,0.973684,0.918919,1.0,0.0,4.635985,0.496449,2.966883,0.787006,,,0.617021,0.724138,0.97619,0.95122,1.0,0.0,4.730391,0.557284,3.054992,0.887993,,,0.0,0.0
78,mixed,464.5,0.100108,0.011841,0.636364,0.555436,0.598837,0.990291,0.895425,1.0,0.332117,4.609129,0.539932,3.021451,0.875188,3.510016,0.794395,0.555436,0.672481,0.991354,0.950581,1.0,0.030581,4.723826,0.606803,3.116282,0.929098,,,0.097955,0.010764
