,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt,stroke_team,scenario
97 / nlvo / speed + benchmark,nlvo,401.8,0.154556,0.010764,0.228571,0.518168,0.6878,0.95,0.912979,1.0,0.5,4.631582,0.530282,2.70805,0.0,3.508898,0.736706,0.518168,0.774256,0.95,0.929397,1.0,0.030387,4.748243,0.599882,2.70805,0.0,5.080734,0.732846,0.154556,0.010764,97,speed + benchmark
97 / other / speed + benchmark,other,87.0,0.0,0.0,,0.590805,0.797665,0.95,0.95,1.0,0.0,4.563503,0.517025,2.70805,0.0,,,0.590805,0.867704,0.95,0.977169,1.0,0.0,4.655689,0.586478,2.70805,0.0,,,0.0,0.0,97,speed + benchmark
97 / mixed / speed + benchmark,mixed,587.4,0.180442,0.029503,0.378788,0.545795,0.751092,0.95,0.937015,1.0,0.494475,4.583228,0.511894,2.70805,0.0,3.446124,0.688017,0.545795,0.82408,0.95,0.951901,1.0,0.072535,4.680542,0.581029,2.70805,0.0,5.204449,0.839615,0.180442,0.029503,97,speed + benchmark
97 / lvo / speed + onset,lvo,98.6,0.326036,0.129551,0.43299,0.618661,0.927869,0.95,0.985765,1.0,0.606498,4.475179,0.439941,2.593932,0.0,3.360558,0.607228,0.618661,0.957377,0.95,0.993127,1.0,0.231834,4.512649,0.481684,2.604587,0.0,5.245072,0.873085,0.326036,0.129551,97,speed + onset
97 / nlvo / speed + onset,nlvo,401.8,0.131869,0.012412,0.228571,0.597516,0.6878,0.95,0.912979,1.0,0.369952,4.631582,0.530282,2.70805,0.0,3.508898,0.736706,0.597516,0.774256,0.95,0.929397,1.0,0.030387,4.748243,0.599882,2.70805,0.0,5.080734,0.732846,0.131869,0.012412,97,speed + onset
97 / other / speed + onset,other,87.0,0.0,0.0,,0.608578,0.797665,0.95,0.95,1.0,0.0,4.563503,0.517025,2.70805,0.0,,,0.608578,0.867704,0.95,0.977169,1.0,0.0,4.655689,0.586478,2.70805,0.0,,,0.0,0.0,97,speed + onset
97 / mixed / speed + onset,mixed,587.4,0.148711,0.032889,0.378788,0.608442,0.751092,0.95,0.937015,1.0,0.365562,4.583228,0.511894,2.70805,0.0,3.446124,0.688017,0.608442,0.82408,0.95,0.951901,1.0,0.072535,4.680542,0.581029,2.70805,0.0,5.204449,0.839615,0.148711,0.032889,97,speed + onset
97 / lvo / speed + onset + benchmark,lvo,98.6,0.42113,0.129551,0.43299,0.618661,0.927869,0.95,0.985765,1.0,0.783394,4.475179,0.439941,2.593932,0.0,3.360558,0.607228,0.618661,0.957377,0.95,0.993127,1.0,0.231834,4.512649,0.481684,2.604587,0.0,5.245072,0.873085,0.42113,0.129551,97,speed + onset + benchmark
97 / nlvo / speed + onset + benchmark,nlvo,401.8,0.178224,0.012412,0.228571,0.597516,0.6878,0.95,0.912979,1.0,0.5,4.631582,0.530282,2.70805,0.0,3.508898,0.736706,0.597516,0.774256,0.95,0.929397,1.0,0.030387,4.748243,0.599882,2.70805,0.0,5.080734,0.732846,0.178224,0.012412,97,speed + onset + benchmark
97 / other / speed + onset + benchmark,other,87.0,0.0,0.0,,0.608578,0.797665,0.95,0.95,1.0,0.0,4.563503,0.517025,2.70805,0.0,,,0.608578,0.867704,0.95,0.977169,1.0,0.0,4.655689,0.586478,2.70805,0.0,,,0.0,0.0,97,speed + onset + benchmark
97 / mixed / speed + onset + benchmark,mixed,587.4,0.201153,0.032889,0.378788,0.608442,0.751092,0.95,0.937015,1.0,0.494475,4.583228,0.511894,2.70805,0.0,3.446124,0.688017,0.608442,0.82408,0.95,0.951901,1.0,0.072535,4.680542,0.581029,2.70805,0.0,5.204449,0.839615,0.201153,0.032889,97,speed + onset + benchmark
98 / lvo / base,lvo,88.2,0.310658,0.052154,0.565217,0.485261,0.88785,0.978947,0.962366,1.0,0.653631,4.50487,0.454471,2.906934,0.859372,3.241887,0.634137,0.485261,0.925234,0.984848,0.979487,1.0,0.078534,4.552429,0.502755,2.966559,0.896007,5.361657,0.31695,0.265306,0.034014,98,base
98 / nlvo / base,nlvo,363.0,0.120661,0.006061,0.363636,0.460606,0.674641,0.941489,0.864407,1.0,0.418301,4.611003,0.606047,3.359144,0.902686,3.412436,0.625406,0.460606,0.745215,0.951846,0.929174,1.0,0.012704,4.713852,0.659288,3.451525,0.965661,,,0.105785,0.003857,98,base
98 / other / base,other,63.8,0.0,0.0,,0.495298,0.791139,0.904,0.911504,1.0,0.0,4.51177,0.744918,3.140064,0.798462,,,0.495298,0.860759,0.933824,0.929134,1.0,0.0,4.605784,0.782198,3.290323,0.925433,,,0.0,0.0,98,base
98 / mixed / base,mixed,515.0,0.138252,0.013204,0.5,0.469126,0.727649,0.944255,0.892771,1.0,0.417004,4.57395,0.600678,3.227979,0.898382,3.347859,0.633143,0.469126,0.792219,0.956113,0.939891,1.0,0.025581,4.665097,0.652661,3.325797,0.96458,5.675031,0.648427,0.12,0.008544,98,base
98 / lvo / benchmark,lvo,88.2,0.315193,0.034014,0.565217,0.485261,0.88785,0.978947,0.962366,1.0,0.776536,4.50487,0.454471,2.906934,0.859372,3.241887,0.634137,0.485261,0.925234,0.984848,0.979487,1.0,0.078534,4.552429,0.502755,2.966559,0.896007,5.361657,0.31695,0.315193,0.034014,98,benchmark
98 / nlvo / benchmark,nlvo,363.0,0.132523,0.003857,0.363636,0.460606,0.674641,0.941489,0.864407,1.0,0.524027,4.611003,0.606047,3.359144,0.902686,3.412436,0.625406,0.460606,0.745215,0.951846,0.929174,1.0,0.012704,4.713852,0.659288,3.451525,0.965661,,,0.132523,0.003857,98,benchmark
98 / other / benchmark,other,63.8,0.0,0.0,,0.495298,0.791139,0.904,0.911504,1.0,0.0,4.51177,0.744918,3.140064,0.798462,,,0.495298,0.860759,0.933824,0.929134,1.0,0.0,4.605784,0.782198,3.290323,0.925433,,,0.0,0.0,98,benchmark
98 / mixed / benchmark,mixed,515.0,0.15068,0.008544,0.5,0.469126,0.727649,0.944255,0.892771,1.0,0.523617,4.57395,0.600678,3.227979,0.898382,3.347859,0.633143,0.469126,0.792219,0.956113,0.939891,1.0,0.025581,4.665097,0.652661,3.325797,0.96458,5.675031,0.648427,0.15068,0.008544,98,benchmark
98 / lvo / onset,lvo,88.2,0.332872,0.042676,0.565217,0.608843,0.88785,0.978947,0.962366,1.0,0.653631,4.50487,0.454471,2.906934,0.859372,3.241887,0.634137,0.608843,0.925234,0.984848,0.979487,1.0,0.078534,4.552429,0.502755,2.966559,0.896007,5.361657,0.31695,0.332872,0.042676,98,onset
98 / nlvo / onset,nlvo,363.0,0.137229,0.005003,0.363636,0.597516,0.674641,0.941489,0.864407,1.0,0.418301,4.611003,0.606047,3.359144,0.902686,3.412436,0.625406,0.597516,0.745215,0.951846,0.929174,1.0,0.012704,4.713852,0.659288,3.451525,0.965661,,,0.137229,0.005003,98,onset
98 / other / onset,other,63.8,0.0,0.0,,0.608578,0.791139,0.904,0.911504,1.0,0.0,4.51177,0.744918,3.140064,0.798462,,,0.608578,0.860759,0.933824,0.929134,1.0,0.0,4.605784,0.782198,3.290323,0.925433,,,0.0,0.0,98,onset
98 / mixed / onset,mixed,515.0,0.155636,0.011081,0.5,0.608442,0.727649,0.944255,0.892771,1.0,0.417004,4.57395,0.600678,3.227979,0.898382,3.347859,0.633143,0.608442,0.792219,0.956113,0.939891,1.0,0.025581,4.665097,0.652661,3.325797,0.96458,5.675031,0.648427,0.155636,0.011081,98,onset
98 / lvo / speed,lvo,88.2,0.257461,0.03281,0.565217,0.485261,0.88785,0.95,0.962366,1.0,0.653631,4.50487,0.454471,2.70805,0.0,3.241887,0.634137,0.485261,0.925234,0.95,0.979487,1.0,0.078534,4.552429,0.502755,2.70805,0.0,5.361657,0.31695,0.257461,0.03281,98,speed
98 / nlvo / speed,nlvo,363.0,0.106741,0.003849,0.363636,0.460606,0.674641,0.95,0.864407,1.0,0.418301,4.611003,0.606047,2.70805,0.0,3.412436,0.625406,0.460606,0.745215,0.95,0.929174,1.0,0.012704,4.713852,0.659288,2.70805,0.0,,,0.106741,0.003849,98,speed
98 / other / speed,other,63.8,0.0,0.0,,0.495298,0.791139,0.95,0.911504,1.0,0.0,4.51177,0.744918,2.70805,0.0,,,0.495298,0.860759,0.95,0.929134,1.0,0.0,4.605784,0.782198,2.70805,0.0,,,0.0,0.0,98,speed
98 / mixed / speed,mixed,515.0,0.12073,0.008489,0.5,0.469126,0.727649,0.95,0.892771,1.0,0.417004,4.57395,0.600678,2.70805,0.0,3.347859,0.633143,0.469126,0.792219,0.95,0.939891,1.0,0.025581,4.665097,0.652661,2.70805,0.0,5.675031,0.648427,0.12073,0.008489,98,speed
98 / lvo / onset + benchmark,lvo,88.2,0.395463,0.042676,0.565217,0.608843,0.88785,0.978947,0.962366,1.0,0.776536,4.50487,0.454471,2.906934,0.859372,3.241887,0.634137,0.608843,0.925234,0.984848,0.979487,1.0,0.078534,4.552429,0.502755,2.966559,0.896007,5.361657,0.31695,0.395463,0.042676,98,onset + benchmark
98 / nlvo / onset + benchmark,nlvo,363.0,0.171914,0.005003,0.363636,0.597516,0.674641,0.941489,0.864407,1.0,0.524027,4.611003,0.606047,3.359144,0.902686,3.412436,0.625406,0.597516,0.745215,0.951846,0.929174,1.0,0.012704,4.713852,0.659288,3.451525,0.965661,,,0.171914,0.005003,98,onset + benchmark
98 / other / onset + benchmark,other,63.8,0.0,0.0,,0.608578,0.791139,0.904,0.911504,1.0,0.0,4.51177,0.744918,3.140064,0.798462,,,0.608578,0.860759,0.933824,0.929134,1.0,0.0,4.605784,0.782198,3.290323,0.925433,,,0.0,0.0,98,onset + benchmark
98 / mixed / onset + benchmark,mixed,515.0,0.195427,0.011081,0.5,0.608442,0.727649,0.944255,0.892771,1.0,0.523617,4.57395,0.600678,3.227979,0.898382,3.347859,0.633143,0.608442,0.792219,0.956113,0.939891,1.0,0.025581,4.665097,0.652661,3.325797,0.96458,5.675031,0.648427,0.195427,0.011081,98,onset + benchmark
98 / lvo / speed + benchmark,lvo,88.2,0.305873,0.03281,0.565217,0.485261,0.88785,0.95,0.962366,1.0,0.776536,4.50487,0.454471,2.70805,0.0,3.241887,0.634137,0.485261,0.925234,0.95,0.979487,1.0,0.078534,4.552429,0.502755,2.70805,0.0,5.361657,0.31695,0.305873,0.03281,98,speed + benchmark
98 / nlvo / speed + benchmark,nlvo,363.0,0.133721,0.003849,0.363636,0.460606,0.674641,0.95,0.864407,1.0,0.524027,4.611003,0.606047,2.70805,0.0,3.412436,0.625406,0.460606,0.745215,0.95,0.929174,1.0,0.012704,4.713852,0.659288,2.70805,0.0,,,0.133721,0.003849,98,speed + benchmark
98 / other / speed + benchmark,other,63.8,0.0,0.0,,0.495298,0.791139,0.95,0.911504,1.0,0.0,4.51177,0.744918,2.70805,0.0,,,0.495298,0.860759,0.95,0.929134,1.0,0.0,4.605784,0.782198,2.70805,0.0,,,0.0,0.0,98,speed + benchmark
